,Name,Last,% Dif.,High,Low,Volume,Turnover (€ Thousands),Date,Time
0,ACCIONA,187.4000,1.46,188.7000,184.4000,"47,640","8,927.51",25/07/2022,15:02:12
1,ACCIONA ENER,39.1400,-0.81,39.8400,38.9000,"68,077","2,665.83",25/07/2022,14:59:41
2,ACERINOX,8.9460,0.56,8.9840,8.7720,"333,136","2,967.96",25/07/2022,15:02:04
3,ACS,22.4300,0.95,22.4400,22.1700,"154,285","3,445.68",25/07/2022,15:01:55
4,AENA,124.4000,-0.88,126.2000,123.9000,"28,361","3,548.70",25/07/2022,15:02:08
5,AMADEUS,56.3400,0.61,56.4000,55.4000,"140,394","7,848.13",25/07/2022,15:00:20
6,ARCELORMIT.,23.0300,0.02,23.0600,22.4700,"102,196","2,338.25",25/07/2022,15:02:16
7,B.SANTANDER,2.4550,0.90,2.4720,2.4170,"22,921,411","55,889.51",25/07/2022,15:01:43
8,BA.SABADELL,0.6548,3.94,0.6550,0.6274,"15,100,114","9,733.25",25/07/2022,15:02:09
9,BANKINTER,4.9790,2.94,4.9850,4.8110,"1,914,162","9,395.53",25/07/2022,15:02:02
10,BBVA,4.1795,0.76,4.2060,4.1380,"6,322,838","26,389.69",25/07/2022,15:02:26
11,CAIXABANK,2.9160,3.26,2.9270,2.8210,"9,151,316","26,219.63",25/07/2022,15:02:28
12,CELLNEX,41.9800,-0.99,42.7800,41.8200,"171,433","7,230.81",25/07/2022,15:01:06
13,ENAGAS,18.8750,0.72,18.9350,18.7200,"190,436","3,589.44",25/07/2022,15:00:34
14,ENDESA,17.6350,-0.76,17.8050,17.5950,"249,332","4,414.75",25/07/2022,15:00:38
15,FERROVIAL,26.2600,0.04,26.6400,26.1300,"251,706","6,629.03",25/07/2022,15:02:25
16,FLUIDRA,18.9800,-1.40,19.3600,18.9400,"236,756","4,527.81",25/07/2022,15:01:02
17,GRIFOLS CL.A,16.3150,-0.73,16.3500,16.0950,"151,241","2,454.86",25/07/2022,15:00:15
18,IAG,1.3780,1.89,1.3825,1.3370,"4,015,076","5,446.68",25/07/2022,15:00:48
19,IBERDROLA,9.9800,-0.12,10.0950,9.9580,"1,532,581","15,396.20",25/07/2022,15:00:38
20,INDITEX,24.6400,0.33,24.6600,24.1000,"676,148","16,538.05",25/07/2022,15:00:05
21,INDRA A,9.2350,-0.43,9.2950,9.1600,"194,017","1,791.04",25/07/2022,15:01:28
22,INM.COLONIAL,6.3500,0.40,6.3500,6.2550,"394,171","2,486.73",25/07/2022,15:01:50
23,MAPFRE,1.5420,0.39,1.5560,1.5400,"1,616,819","2,498.74",25/07/2022,15:00:38
24,MELIA HOTELS,5.9550,1.19,5.9700,5.8000,"319,769","1,887.31",25/07/2022,15:02:17
25,MERLIN,9.9250,-0.45,9.9950,9.8900,"105,949","1,051.73",25/07/2022,14:51:10
26,NATURGY,28.5200,1.06,28.6400,27.6600,"68,225","1,940.72",25/07/2022,15:00:38
27,PHARMA MAR,72.6400,0.55,72.8400,71.3000,"17,585","1,264.19",25/07/2022,15:02:28
28,R.E.C.,18.3200,0.00,18.5300,18.2500,"289,816","5,328.62",25/07/2022,15:01:29
29,REPSOL,12.0950,0.54,12.1400,11.8100,"1,094,318","13,138.08",25/07/2022,15:01:59
30,ROVI,60.1000,0.59,60.6500,58.5000,"38,886","2,343.76",25/07/2022,15:01:05
31,SACYR,2.3100,1.14,2.3300,2.2600,"1,059,570","2,427.45",25/07/2022,14:59:16
32,SIEMENS GAME,17.9150,0.03,17.9450,17.9000,"1,224,647","21,941.79",25/07/2022,15:01:29
33,SOLARIA,20.8300,-3.70,22.2500,20.7100,"332,843","7,065.62",25/07/2022,15:02:16
34,TELEFONICA,4.4710,1.96,4.4890,4.3860,"6,919,220","30,710.62",25/07/2022,15:02:27
